Project,Dam ID,Gestational age,DPI,fetal heart rate,Femur_length_1,Femur_length_2,Femur_length_3,Avg Femur Length (mm),Biparietal_diameter_1,Biparietal_diameter_2,Biparietal_diameter_3,Avg Biparietal Diameter (mm),Head_circumference_1,Head_circumference_2,Head_circumference_3,Avg Head Circumfrence (mm),Abdominal_circumference_1,Abdominal_circumference_2,Abdominal_circumference_3,Avg Abdominal Circumference (mm)
ZIKV-PR,044-101,93,45,194,20.42,20.72,21.42,20.85333333,32.92,32.59,,32.76,119.79,120.49,,120.14,116.79,121.34,,119.065
ZIKV-PR,044-101,100,52,180,27.74,26.48,,27.11,39.9,39.67,,39.79,141.93,143.20,,142.57,118.6,119.95,,119.275
ZIKV-PR,044-101,107,59,200,27.2,26.42,,26.81,37.47,37.1,,37.29,137.17,134.48,,135.83,110.55,120.58,,115.565
ZIKV-PR,044-101,114,66,220,31.49,30.91,,31.2,40.13,40.45,,40.29,152.58,148.59,,150.59,134.32,134.31,,134.315
ZIKV-PR,044-101,121,73,228,33.21,33.22,,33.215,41.74,43,,42.37,162.51,157.18,,159.85,138.94,144.47,,141.705
ZIKV-PR,044-101,128,80,194,36.15,34.6,,35.375,44.41,44.14,,44.28,163.59,169.75,,166.67,149.55,148.54,,149.045
ZIKV-PR,044-101,132,84,231,37.38,37.44,,37.41,45.71,45.68,,45.70,169.15,167.79,,168.47,152.33,155.53,,153.93
ZIKV-PR,044-101,142,94,191,40.98,41.02,,41,47.08,47.04,,47.06,175.02,172.29,,173.66,144.83,146.48,,145.655
ZIKV-PR,044-101,149,101,159,44.54,42.88,,43.71,47.58,47.31,,47.45,174.58,175.21,,174.90,168.51,161.24,,164.875
ZIKV-PR,044-101,156,108,170,42.25,45.27,45.44,44.32,48.19,47.89,,48.04,180.32,179.96,,180.14,162.89,164.86,,163.875
ZIKV-DAK,030-101,49,1,208,,,,,,,,,,,,,,,,
ZIKV-DAK,030-101,56,8,195.745,,,,,,,,,,,,,,,,
ZIKV-DAK,030-101,59,11,216.9,,,,,,,,,,,,,,,,
ZIKV-DAK,030-101,63,15,202.82,,,,,19.56,19.86,,19.71,,,,,,,,
ZIKV-DAK,030-101,70,22,203,,,,,,,,,,,,,,,,
ZIKV-DAK,030-101,77,29,201.175,14.43,14.83,,14.63,25.34,24.97,,25.155,90.2,,,90.2,87.7,89.39,,88.545
ZIKV-DAK,030-101,84,36,195.65,,,,,,,,,,,,,,,,
ZIKV-DAK,030-101,87,39,196,,,,,,,,,,,,,,,,
ZIKV-DAK,030-101,91,43,188.2666667,,,,,,,,,,,,,,,,
ZIKV-DAK,030-101,93,45,232.13,20.58,20.7,,20.64,32.47,32.35,,32.41,121.48,119.66,,120.57,103.47,105.31,,104.39
ZIKV-DAK,030-101,100,52,191.49,12.57,13.5,,13.035,36.7,36.47,,36.585,130.13,131.44,,130.785,110.02,108.09,,109.055
ZIKV-DAK,030-101,107,59,209.3,27.54,27.35,,27.445,37.37,37.79,,37.58,139.76,137.04,,138.4,123.21,118.36,,120.785
